date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh,sunshine_total_min
Sun May 24 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,27.8,22.8,32.8,0,12.6,68
Mon May 25 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,28.3,23.9,32.2,0,13,129
Tue May 26 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,26.1,18.9,32.8,18.5,11.9,631
Wed May 27 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,28.3,21.7,35,0,10.1,674
Thu May 28 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,28.3,21.1,35.6,0,9,620
Fri May 29 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,28.9,21.1,36.1,0,9.4,693
Sat May 30 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,30.6,23.3,37.2,0,11.9,745
Sun May 31 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,30,22.2,37.2,0,13,839
Mon Jun 01 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,30,22.8,36.7,0,16.6,736
Tue Jun 02 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,30.6,25,36.1,0,17.6,665
Wed Jun 03 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.7,26.7,36.7,0,16.6,385
Thu Jun 04 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,27.2,20,34.4,7.9,14.8,188
Fri Jun 05 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,23.3,17.8,28.9,0,18,826
Sat Jun 06 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,24.4,18.3,30.6,0,15.1,67
Sun Jun 07 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,30,25,35,0,22.7,412
Mon Jun 08 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,30.6,25,35.6,0,16.6,290
Tue Jun 09 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.1,26.1,35.6,0,19.8,437
Wed Jun 10 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,27.2,21.7,32.8,21.6,10.8,277
Thu Jun 11 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.1,26.1,36.1,0,15.1,585
Fri Jun 12 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.1,24.4,37.2,0,15.5,530
Sat Jun 13 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,33.9,25,42.2,0,13.3,839
Sun Jun 14 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,31.1,22.2,40,0,12.2,809
Mon Jun 15 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,30.6,22.8,37.8,0,16.2,846
Tue Jun 16 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,30.6,25,36.1,0,20.5,494
Wed Jun 17 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,32.2,27.2,36.7,0,18,547
Thu Jun 18 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,32.2,26.1,37.8,0,18,733
Fri Jun 19 1998 19:00:00 GMT-0500 (Central Daylight Time),Summer,32.2,26.1,38.3,0,17.6,714
