date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh
Sat Mar 06 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,3.1,2.2,4.4,2.5,17.1
Sun Mar 07 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,2,-0.6,5,0.3,6.8
Wed Mar 10 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,0.6,-1.7,1.7,5.8,32.2
Thu Mar 11 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,-1.1,-7.8,2.2,0.8,7.2
Sun Mar 14 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,1.3,0.6,2.2,6.6,21.2
Tue Mar 16 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,4,2.8,6.1,3.6,16
Wed Mar 17 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,2.5,-0.6,4.4,7.1,23.9
Sun Mar 21 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,2.6,-0.6,6.7,0,11.1
Tue Mar 23 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,2,-0.6,6.7,0,3.9
Fri Mar 26 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,0.8,-0.6,2.2,5.3,10.1
Sun Mar 28 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,0.4,-0.6,1.1,7.6,9
Mon Mar 29 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,0.2,-2.8,2.2,4.6,13
Wed Mar 31 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,1.8,0.6,2.8,0.8,32.2
Thu Apr 01 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,3.1,1.7,4.4,0.3,18.7
Sat Apr 03 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,2.4,0.6,4.4,13,20.5
Tue Apr 06 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,3.3,-0.6,7.8,1.5,10.9
Thu Apr 08 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,5.5,1.1,10.6,0,9.7
Fri Apr 09 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,6.3,4.4,10,0,17.4
Sat Apr 10 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,5,3.9,6.7,1,18.6
Sun Apr 11 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,5.1,2.2,10.6,0,8.4
Mon Apr 12 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,4.3,3.3,6.1,8.6,26.4
Tue Apr 13 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,4,-1.1,6.7,3.3,23.2
Fri Apr 16 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,4.9,2.8,8.9,0,22.3
Sat Apr 17 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,4.7,2.8,7.8,2,29.5
Sun Apr 18 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,3.7,2.2,6.1,5.1,24.6
Tue Apr 20 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,4.1,0.6,8.9,0,10.6
Wed Apr 21 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,3.8,-1.1,9.4,0,4.8
Thu Apr 22 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,4.9,-2.2,11.7,0,13.7
Fri Apr 23 1976 18:00:00 GMT-0600 (Central Standard Time),Spring,6.4,3.9,11.1,2.5,13.1
Mon Apr 26 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,6.5,-1.1,15,0,8.1
Tue Apr 27 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,8.5,-0.6,17.8,0,6.9
Thu Apr 29 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,10,1.1,19.4,0,7.3
Fri Apr 30 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,9.6,7.2,12.8,6.9,10.6
Sat May 01 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,8.2,6.7,10,2.3,23.7
Sun May 02 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,7.2,5.6,8.9,11.2,26.8
Mon May 03 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,8.5,6.1,12.8,0.5,20.2
Wed May 05 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,5.8,5,6.7,6.1,28.2
Thu May 06 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,5.5,3.3,7.2,8.1,20
Fri May 07 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,6.2,2.2,10,0,10.9
Sat May 08 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,6.6,3.9,11.7,16.8,19.4
Sun May 09 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,7.1,6.1,10.6,4.1,31.9
Mon May 10 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,6.1,5.6,7.2,1.8,31.9
Wed May 12 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,6.3,4.4,7.8,0,13.3
Thu May 13 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,4.7,3.9,5.6,1.5,26.7
Fri May 14 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,5.8,3.3,9.4,0.5,8.4
Sat May 15 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,8,2.2,14.4,0,11.8
Tue May 18 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,6.6,2.8,10,0,13.5
Wed May 19 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,7.6,5,11.7,0,24
Thu May 20 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,8.1,5,13.3,0,15.4
Thu May 27 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,7.7,4.4,11.7,0,11
Fri May 28 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,8.6,1.1,14.4,0,10.9
Sat May 29 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,10.5,-0.6,20,0,12
Sun May 30 1976 19:00:00 GMT-0500 (Central Daylight Time),Spring,9.3,3.3,10.6,0,19.2
Wed Jun 02 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,9.7,7.2,11.7,0.3,9.1
Thu Jun 03 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,9.4,6.1,13.3,0,10.2
Fri Jun 04 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,9.9,6.7,13.3,0,7.5
Mon Jun 07 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,9.3,7.8,11.1,6.6,9.5
Tue Jun 08 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,10.2,5.6,13.9,0,5.4
Wed Jun 09 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,9.8,6.7,15.6,5.3,9.5
Fri Jun 11 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,8.8,7.2,11.7,2.3,10.5
Sat Jun 12 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,10.3,8.3,13.9,3.3,19
Sun Jun 13 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,10,7.2,12.2,2.5,9.5
Mon Jun 14 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,12.5,4.4,20,0,10.4
Sun Jun 20 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.6,2.8,20,0,8.5
Mon Jun 21 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.6,9.4,14.4,6.9,11.3
Tue Jun 22 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,12.6,9.4,17.2,3.6,13.5
Sat Jun 26 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,12.4,8.3,17.8,0,8.6
Mon Jun 28 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,14.9,10,21.1,0,10.7
Tue Jun 29 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,10.9,8.9,12.2,26.4,11.7
Wed Jun 30 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,10.1,8.9,11.1,1.8,15.7
Thu Jul 01 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,10.8,8.9,13.9,0.3,12
Fri Jul 02 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,12.2,8.9,17.2,0,12
Sun Jul 04 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,14.4,8.3,20.6,0.8,13.9
Wed Jul 07 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,17.3,11.7,25.6,2.5,13.6
Thu Jul 08 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.9,9.4,15,18.5,16
Fri Jul 09 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,12.9,7.8,20.6,0.3,9.2
Sat Jul 10 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,13.4,5,21.1,0,11
Mon Jul 12 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,10.8,8.9,12.2,9.4,21.1
Tue Jul 13 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.4,8.9,15,6.6,13.1
Wed Jul 14 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,13,10,18.3,3.6,15.2
Thu Jul 15 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.4,8.9,14.4,2,23.2
Fri Jul 16 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.2,8.9,15.6,0,19.5
Sat Jul 17 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.4,5.6,13.9,0,9.2
Mon Jul 19 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,14.8,11.1,17.2,1.3,11.7
Tue Jul 20 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,14.3,10,20,4.3,18.6
Sun Jul 25 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.1,8.3,15.6,0.8,11.5
Thu Jul 29 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,16.9,8.9,25,0,5.9
Fri Jul 30 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,18.7,9.4,28.9,0,8.6
Sat Jul 31 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,18.9,10.6,27.8,0,9.1
Wed Aug 04 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,14.3,11.1,18.3,0,8.6
Fri Aug 06 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,12.7,7.2,17.2,3.3,8
Tue Aug 10 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,13.3,11.1,16.7,5.6,22.3
Thu Aug 12 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.5,6.7,17.8,0,7.1
Fri Aug 13 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,12.3,4.4,20,0,8.3
Sat Aug 21 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,11,8.3,14.4,0.3,9.6
Mon Aug 23 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,12.2,6.1,19.4,0,8.2
Sun Aug 29 1976 19:00:00 GMT-0500 (Central Daylight Time),Summer,10.7,4.4,18.3,0,6.4
Tue Aug 31 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,9.8,6.7,15,2.3,6.8
Fri Sep 10 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,7.5,1.7,13.9,0,4.9
Mon Sep 13 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,10.3,9.4,11.7,32.3,32.3
Tue Sep 14 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,10.4,8.9,12.8,1.5,19.6
Wed Sep 15 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,8.8,6.7,9.4,7.1,16.1
Fri Sep 17 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,8.8,5.6,13.3,1,15.3
Mon Sep 20 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,9,5,13.3,10.7,4.6
Thu Sep 23 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,12.3,9.4,16.7,4.1,14.3
Fri Sep 24 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,11.7,10.6,12.8,19.8,11
Tue Sep 28 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,7.3,2.8,12.8,1.8,9.3
Thu Sep 30 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,7,5,9.4,4.8,11.1
Sat Oct 09 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,7.7,7.2,8.3,3.6,27.9
Sun Oct 10 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,7,6.7,7.8,6.1,15.6
Mon Oct 11 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,6.2,4.4,7.2,13.2,13
Tue Oct 12 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,5.3,2.8,7.2,4.8,8.1
Thu Oct 14 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,4.1,2.8,5,2,9.9
Fri Oct 15 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,5.6,3.9,7.8,0.5,13.8
Sat Oct 16 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,5.1,4.4,7.2,5.6,22.7
Sun Oct 17 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,6.5,4.4,8.3,5.3,13
Mon Oct 18 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,5.2,2.2,8.3,0,2.2
Tue Oct 19 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,5.9,3.9,7.8,0,3.1
Thu Oct 21 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,2.5,0,6.1,0,3.2
Fri Oct 22 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,0.9,-1.7,5.6,0,1.2
Sat Oct 23 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,0.9,-2.8,4.4,0,2.3
Thu Oct 28 1976 19:00:00 GMT-0500 (Central Daylight Time),Autumn,3.8,3.3,5,0.5,26.2
Sun Oct 31 1976 18:00:00 GMT-0600 (Central Standard Time),Autumn,2.3,0.6,3.9,6.1,18.9
Mon Nov 08 1976 18:00:00 GMT-0600 (Central Standard Time),Autumn,3,-0.6,5,0.3,5.8
Tue Nov 09 1976 18:00:00 GMT-0600 (Central Standard Time),Autumn,6.4,3.3,10.6,1,7.8
Sat Nov 13 1976 18:00:00 GMT-0600 (Central Standard Time),Autumn,7.7,3.9,12.8,2,15.4
Sun Nov 14 1976 18:00:00 GMT-0600 (Central Standard Time),Autumn,6,3.9,8.3,2.8,28.4
Mon Nov 15 1976 18:00:00 GMT-0600 (Central Standard Time),Autumn,4.1,2.8,5,5.8,14.2
Fri Nov 19 1976 18:00:00 GMT-0600 (Central Standard Time),Autumn,4.1,2.2,6.7,0.3,13
Sat Nov 20 1976 18:00:00 GMT-0600 (Central Standard Time),Autumn,5.1,3.9,6.1,2.8,25.4
Mon Nov 22 1976 18:00:00 GMT-0600 (Central Standard Time),Autumn,3.3,2.8,3.9,1.5,10.3
Tue Nov 23 1976 18:00:00 GMT-0600 (Central Standard Time),Autumn,2.6,1.1,3.3,2.8,9.8
Wed Nov 24 1976 18:00:00 GMT-0600 (Central Standard Time),Autumn,2.5,1.1,3.3,1.3,9.7
Thu Nov 25 1976 18:00:00 GMT-0600 (Central Standard Time),Autumn,2.1,1.7,3.3,0.5,24.3
Fri Nov 26 1976 18:00:00 GMT-0600 (Central Standard Time),Autumn,4.6,3.3,5.6,1.8,24.6
Mon Nov 29 1976 18:00:00 GMT-0600 (Central Standard Time),Autumn,6,3.9,7.2,1.5,28.5
Wed Dec 01 1976 18:00:00 GMT-0600 (Central Standard Time),Winter,3.7,2.8,4.4,0,13.8
Thu Dec 02 1976 18:00:00 GMT-0600 (Central Standard Time),Winter,3.5,2.8,3.9,1.8,13.5
Fri Dec 03 1976 18:00:00 GMT-0600 (Central Standard Time),Winter,2.2,0.6,3.3,8.4,14.7
Thu Dec 09 1976 18:00:00 GMT-0600 (Central Standard Time),Winter,-1,-1.1,-0.6,9.1,1.7
Fri Dec 10 1976 18:00:00 GMT-0600 (Central Standard Time),Winter,0.9,-1.1,2.2,4.1,16.4
Sun Dec 12 1976 18:00:00 GMT-0600 (Central Standard Time),Winter,2.7,1.1,3.9,6.4,20.5
Mon Dec 13 1976 18:00:00 GMT-0600 (Central Standard Time),Winter,2.3,1.1,3.9,2.3,23.9
Tue Dec 14 1976 18:00:00 GMT-0600 (Central Standard Time),Winter,2.9,1.1,5,0.5,20.9
Fri Dec 17 1976 18:00:00 GMT-0600 (Central Standard Time),Winter,-6.4,-9.4,-1.1,0,5.2
Sat Dec 18 1976 18:00:00 GMT-0600 (Central Standard Time),Winter,0.3,-3.3,3.9,5.1,19.1
Wed Dec 22 1976 18:00:00 GMT-0600 (Central Standard Time),Winter,1.7,0.6,3.3,5.1,8
Thu Dec 23 1976 18:00:00 GMT-0600 (Central Standard Time),Winter,1.2,0,2.2,0,9.8
Sun Dec 26 1976 18:00:00 GMT-0600 (Central Standard Time),Winter,2.7,1.1,4.4,7.1,25.7
Tue Dec 28 1976 18:00:00 GMT-0600 (Central Standard Time),Winter,0.4,-1.7,3.3,0,5.3
Wed Dec 29 1976 18:00:00 GMT-0600 (Central Standard Time),Winter,3.2,-0.6,6.1,2,16.5
Fri Dec 31 1976 18:00:00 GMT-0600 (Central Standard Time),Winter,-3.3,-6.1,0,0,1.6
Sat Jan 01 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,-5.1,-7.8,-2.2,0,1.8
Sun Jan 02 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,-1.2,-2.8,-0.6,0,2.9
Mon Jan 03 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,0.1,-0.6,1.1,0.3,19.8
Tue Jan 04 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,3.5,1.1,5,18.5,33.1
Fri Jan 07 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,-0.4,-1.7,1.1,2.3,7.3
Sat Jan 08 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,-1.1,-3.9,0,0.3,2.6
Mon Jan 10 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,0.8,0,1.7,4.8,15.1
Thu Jan 13 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,0.7,-1.1,2.8,0,7.9
Sat Jan 15 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,2.9,0.6,5.6,1.3,19.1
Tue Jan 18 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,0.8,-0.6,2.2,0,3.6
Mon Jan 24 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,4.6,3.9,5.6,3.3,21.2
Tue Jan 25 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,3.9,2.2,5,0.8,14.7
Thu Jan 27 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,3,2.2,4.4,0,18.3
Sat Jan 29 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,3.3,2.8,4.4,13,11.8
Sun Jan 30 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,5,4.4,6.1,5.8,21.2
Mon Jan 31 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,6.2,5,6.7,6.6,31.6
Tue Feb 01 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,6.5,5.6,7.2,7.9,33.7
Wed Feb 02 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,4.8,2.8,6.1,0.3,4.3
Sat Feb 05 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,6.7,5,8.3,3.6,21.4
Mon Feb 07 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,2.7,0.6,4.4,6.1,6.3
Wed Feb 09 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,1.5,-2.8,4.4,0,7.1
Thu Feb 10 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,0.3,-3.3,5,1.5,8.8
Fri Feb 11 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,3.4,0.6,6.7,2,19.5
Sun Feb 13 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,5.1,2.8,7.8,15.2,20.5
Tue Feb 15 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,3.2,1.1,6.1,6.9,12
Thu Feb 17 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,5.8,3.3,10,11.2,33.3
Fri Feb 18 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,9.2,7.2,12.8,1.3,26.1
Sat Feb 19 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,7.2,2.8,11.7,0.3,17.5
Mon Feb 21 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,3.6,0.6,6.1,4.1,14.4
Tue Feb 22 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,1.9,1.1,4.4,3.6,20.5
Wed Feb 23 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,1.8,1.1,4.4,3.8,31.2
Fri Feb 25 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,3.8,1.7,5.6,1.3,21.1
Sat Feb 26 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,4.2,2.2,5,6.9,33.1
Sun Feb 27 1977 18:00:00 GMT-0600 (Central Standard Time),Winter,2.3,0.6,3.3,6.6,12.1
Wed Mar 02 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,3.4,1.7,5.6,4.3,24.6
Thu Mar 03 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,3.2,1.7,6.1,10.7,25.7
Fri Mar 04 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,1.9,0,3.3,1.8,18.7
Sat Mar 05 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,2.1,0.6,4.4,0.3,13.3
Mon Mar 07 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,3.2,1.1,7.2,2,13.1
Tue Mar 08 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,2.5,1.1,5.6,0.3,10.5
Thu Mar 10 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,2.2,0.6,3.9,6.6,26.3
Fri Mar 11 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,1.5,-2.2,5.6,0,7.7
Sat Mar 12 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,-0.3,-3.3,2.2,0,9.1
Sun Mar 13 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,1.2,-2.8,6.7,0,5.8
Wed Mar 16 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,2.8,1.1,6.7,1.8,9.7
Fri Mar 18 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,0.2,-2.8,2.2,1,13.9
Sat Mar 19 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,2,0.6,5,4.3,5.2
Sun Mar 20 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,2.1,1.1,4.4,4.1,7.8
Tue Mar 22 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,-0.5,-3.9,0.6,0,8
Wed Mar 23 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,-1,-4.4,2.8,1.5,10.4
Fri Mar 25 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,2.4,1.1,3.3,8.4,20.1
Sat Mar 26 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,3.5,1.1,7.8,1,6.5
Sun Mar 27 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,2.8,1.1,5.6,0.3,13.2
Mon Mar 28 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,3,1.1,5.6,3.6,17.5
Tue Mar 29 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,3,2.2,4.4,4.3,20.1
Wed Mar 30 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,4.2,0.6,7.8,0.3,6.3
Thu Mar 31 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,2.4,0,5,0,12.6
Sat Apr 02 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,7.3,6.1,11.7,0.5,16.7
Mon Apr 04 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,5.4,4.4,7.2,7.1,7.9
Tue Apr 05 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,6.3,4.4,8.3,1,17
Wed Apr 06 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,5.6,2.8,7.2,10.9,20.7
Thu Apr 07 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,3.7,2.2,5,2,21.3
Fri Apr 08 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,3.8,3.3,5.6,4.3,27.2
Wed Apr 13 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,3.5,1.1,6.7,0.3,25.9
Sat Apr 16 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,3.2,1.7,6.7,5.1,19.3
Sun Apr 17 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,2.8,2.2,4.4,1.8,19.2
Tue Apr 19 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,5.2,1.1,10,1.5,15.3
Thu Apr 21 1977 18:00:00 GMT-0600 (Central Standard Time),Spring,8.6,0.6,16.7,0,5.5
Thu Apr 28 1977 19:00:00 GMT-0500 (Central Daylight Time),Spring,5.1,2.2,8.9,1,9.3
Fri May 06 1977 19:00:00 GMT-0500 (Central Daylight Time),Spring,7.8,5.6,10.6,2.3,10.7
Sun May 08 1977 19:00:00 GMT-0500 (Central Daylight Time),Spring,5.2,-0.6,10.6,0.3,7
Mon May 09 1977 19:00:00 GMT-0500 (Central Daylight Time),Spring,6.4,0,12.2,0,10.7
Tue May 10 1977 19:00:00 GMT-0500 (Central Daylight Time),Spring,6.5,-1.1,13.9,0,7.6
Wed May 11 1977 19:00:00 GMT-0500 (Central Daylight Time),Spring,7.6,2.2,13.9,0,8.8
Fri May 13 1977 19:00:00 GMT-0500 (Central Daylight Time),Spring,9.8,4.4,13.3,0,13.7
Sat May 14 1977 19:00:00 GMT-0500 (Central Daylight Time),Spring,8.2,1.1,14.4,0,8.9
Sun May 15 1977 19:00:00 GMT-0500 (Central Daylight Time),Spring,9.6,3.9,14.4,0,12.2
Tue May 17 1977 19:00:00 GMT-0500 (Central Daylight Time),Spring,13.1,2.2,21.7,0,10.5
Sun May 22 1977 19:00:00 GMT-0500 (Central Daylight Time),Spring,10.2,5.6,15,0.5,9.4
Mon May 23 1977 19:00:00 GMT-0500 (Central Daylight Time),Spring,10,5,14.4,0,12.8
Wed May 25 1977 19:00:00 GMT-0500 (Central Daylight Time),Spring,9.9,0.6,17.8,0,8.2
Thu May 26 1977 19:00:00 GMT-0500 (Central Daylight Time),Spring,10.6,3.3,18.3,0,12
Sat May 28 1977 19:00:00 GMT-0500 (Central Daylight Time),Spring,8.8,5,12.8,7.6,5.6
Sun May 29 1977 19:00:00 GMT-0500 (Central Daylight Time),Spring,10.9,6.7,16.1,5.6,10.5
Mon May 30 1977 19:00:00 GMT-0500 (Central Daylight Time),Spring,11.6,5,17.8,0,8.8
Tue May 31 1977 19:00:00 GMT-0500 (Central Daylight Time),Summer,9.5,6.7,11.7,15,13.8
Wed Jun 01 1977 19:00:00 GMT-0500 (Central Daylight Time),Summer,7.6,5,11.1,25.9,7.5
Thu Jun 02 1977 19:00:00 GMT-0500 (Central Daylight Time),Summer,10,4.4,15,0,10.8
Fri Jun 03 1977 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.1,2.2,20,0,8.1
Sat Jun 04 1977 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.7,10.6,13.3,0.3,23.2
Sun Jun 05 1977 19:00:00 GMT-0500 (Central Daylight Time),Summer,10.1,5,13.3,9.1,10.4
Tue Jun 07 1977 19:00:00 GMT-0500 (Central Daylight Time),Summer,10.7,6.7,16.1,0,8.5
Wed Jun 08 1977 19:00:00 GMT-0500 (Central Daylight Time),Summer,11,8.3,14.4,0,8.5
