date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh
Sun Jan 20 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,-6.3,-11.1,-3.3,3,1.8
Mon Jan 21 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,-5.5,-7.2,-3.9,1.8,1
Tue Jan 22 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,-3.3,-4.4,0.6,16.3,4.2
Wed Jan 23 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,0.4,-0.6,1.7,2.3,16
Thu Jan 24 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,0.5,-0.6,2.2,3.8,17.1
Fri Jan 25 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,-1.6,-5,1.7,2,3.3
Sat Jan 26 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,-6.1,-11.1,-4.4,4.8,6.5
Sun Jan 27 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,-8.5,-12.8,-5,5.6,13.4
Mon Jan 28 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,-15.3,-20,-12.8,0,17.3
Tue Jan 29 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,-18.2,-23.9,-12.8,0,13.6
Wed Jan 30 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,-14.1,-18.9,-8.3,0,13.9
Thu Jan 31 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,-14.4,-23.9,-9.4,0,6.6
Fri Feb 01 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,-7.9,-11.1,-3.9,5.3,4
Sat Feb 02 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,-5.7,-7.2,-4.4,21.8,0.2
Sun Feb 03 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,-3.1,-5,0,5.6,5.6
Mon Feb 04 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,0.2,-0.6,1.1,10.7,25.3
Tue Feb 05 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,1,0.6,2.8,6.6,26
Wed Feb 06 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,2.6,0.6,3.9,25.4,28.7
Thu Feb 07 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,1.7,1.1,2.8,15.7,27.3
Fri Feb 08 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,1.2,0.6,3.9,27.2,33.9
Sat Feb 09 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,1.6,-0.6,3.9,2.5,16.8
Sun Feb 10 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,-0.4,-1.7,1.7,0.3,16.8
Mon Feb 11 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,-0.5,-1.1,1.7,0,24.5
Tue Feb 12 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,0.9,-0.6,2.2,3.6,32.3
Wed Feb 13 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,0.9,0,2.2,7.1,34.4
Thu Feb 14 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,1.7,-1.1,3.3,3,25.6
Fri Feb 15 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,-1.1,-2.2,0.6,0.3,13.4
Sat Feb 16 1974 19:00:00 GMT-0500 (Central Daylight Time),Winter,-0.2,-2.2,1.7,4.1,29.5
